County,Rating Area
Clarion,Area 1
Crawford,Area 1
Erie,Area 1
Forest,Area 1
McKean,Area 1
Mercer,Area 1
Venango,Area 1
Warren,Area 1
Elk,Area 2
Cameron,Area 2
Potter,Area 2
Bradford,Area 3
Carbon,Area 3
Clinton,Area 3
Lackawanna,Area 3
Luzerne,Area 3
Lycoming,Area 3
Monroe,Area 3
Pike,Area 3
Sullivan,Area 3
Susquehanna,Area 3
Tioga,Area 3
Wayne,Area 3
Wyoming,Area 3
Allegheny,Area 4
Armstrong,Area 4
Beaver,Area 4
Butler,Area 4
Fayette,Area 4
Greene,Area 4
Indiana,Area 4
Lawrence,Area 4
Washington,Area 4
Westmoreland,Area 4
Bedford,Area 5
Blair,Area 5
Cambria,Area 5
Clearfield,Area 5
Huntingdon,Area 5
Jefferson,Area 5
Somerset,Area 5
Centre,Area 6
Columbia,Area 6
Lehigh,Area 6
Mifflin,Area 6
Montour,Area 6
Northampton,Area 6
Northumberland,Area 6
Schuylkill,Area 6
Snyder,Area 6
Union,Area 6
Adams,Area 7
Berks,Area 7
Lancaster,Area 7
York,Area 7
Bucks,Area 8
Chester,Area 8
Delaware,Area 8
Montgomery,Area 8
Philadelphia,Area 8
Cumberland,Area 9
Dauphin,Area 9
Franklin,Area 9
Fulton,Area 9
Juniata,Area 9
Lebanon,Area 9
Perry,Area 9
